name,mean_counts,genre,cluster
Dragon Ball Z,0.09141008245485857,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",2
Clannad: After Story,0.09105521344327315,"Drama, Fantasy, Romance, Slice of Life, Supernatural",2
Cowboy Bebop,0.08807013881640748,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",2
Mononoke Hime,0.08804926416866715,"Action, Adventure, Fantasy",2
Mirai Nikki (TV),0.08804926416866715,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",2
Kuroshitsuji,0.08683853459972862,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",2
Soul Eater,0.08600354869011585,"Action, Adventure, Comedy, Fantasy, Shounen, Supernatural",2
Ao no Exorcist,0.07924016282225238,"Action, Demons, Fantasy, Shounen, Supernatural",2
Neon Genesis Evangelion,0.07706919945725915,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",2
Durarara!!,0.07318651497755975,"Action, Mystery, Supernatural",2
Mahou Shoujo Madoka★Magica,0.07289426990919529,"Drama, Magic, Psychological, Thriller",2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,0.07176703893121804,"Drama, Slice of Life, Supernatural",2
Another,0.07126604738545037,"Horror, Mystery, School, Supernatural, Thriller",2
Kaichou wa Maid-sama!,0.06907420937271684,"Comedy, Romance, School, Shoujo",2
Samurai Champloo,0.06636050516647532,"Action, Adventure, Comedy, Historical, Samurai, Shounen",2
Dragon Ball,0.06604738545037052,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",2
Tonari no Totoro,0.0654837699613819,"Adventure, Comedy, Supernatural",2
Tokyo Ghoul,0.06446091222210625,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",2
Suzumiya Haruhi no Yuuutsu,0.06425216574470306,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",2
Highschool of the Dead,0.06306231082350486,"Action, Ecchi, Horror, Supernatural",2
Vampire Knight,0.06210207702745016,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",2
No Game No Life,0.06039035591274397,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",2
Bleach,0.057008662978812234,"Action, Comedy, Shounen, Super Power, Supernatural",2
Fairy Tail,0.0554639390460286,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",2
Darker than Black: Kuro no Keiyakusha,0.05373134328358209,"Action, Mystery, Sci-Fi, Super Power",2
Fruits Basket,0.05310510385137251,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",2
K-On!,0.05293810666944995,"Comedy, Music, School, Slice of Life",2
Higurashi no Naku Koro ni,0.052290992589500054,"Horror, Mystery, Psychological, Supernatural, Thriller",2
Kuroko no Basket,0.049953032042584285,"Comedy, School, Shounen, Sports",2
FLCL,0.04970253626970045,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",2
Hellsing,0.048157812336916815,"Action, Horror, Seinen, Supernatural, Vampire",2
Trigun,0.047468948961486276,"Action, Comedy, Sci-Fi",2
Psycho-Pass,0.04686358417701701,"Action, Police, Psychological, Sci-Fi",2
Toki wo Kakeru Shoujo,0.0466339630518735,"Adventure, Drama, Romance, Sci-Fi",2
Kill la Kill,0.046216470097067114,"Action, Comedy, School, Super Power",2
Vampire Knight Guilty,0.04617472080158647,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",2
Byousoku 5 Centimeter,0.04596597432418328,"Drama, Romance, Slice of Life",2
One Punch Man,0.04513098841457051,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",2
